team,round,annee,forme_recent_norm_equipe,performance_norm_equipe,preference_circuit_norm_equipe,forme_brute_equipe,performance_brute_equipe,pref_circuit_brute_equipe
red_bull,1,2022,0.0,0.698829132993406,0.0,0.0,73.27340331552635,0.0
mclaren,1,2022,0.0,0.25691185795343924,0.0,0.0,29.134835214022445,0.0
ferrari,1,2022,0.0,0.5858760240076119,0.0,0.0,61.99167984636536,0.0
mercedes,1,2022,0.0,0.9999999999899879,0.0,0.0,103.35426137185685,0.0
sauber,1,2022,0.0,0.009981054667377278,0.0,0.0,4.47145884744978,0.0
haas,1,2022,0.0,0.0,0.0,0.0,3.4745540282819336,0.0
aston_martin,1,2022,0.0,0.17852864002421392,0.0,0.0,21.305942346525384,0.0
rb,1,2022,0.0,0.10678770650097608,0.0,0.0,14.140478901597787,0.0
williams,1,2022,0.0,0.052699679676129305,0.0,0.0,8.738182611486572,0.0
alpine,1,2022,0.0,0.17749134361380442,0.0,0.0,21.202337484624106,0.0
red_bull,2,2022,0.0,0.5465555507805777,0.0,0.0,73.27340331552635,0.0
mclaren,2,2022,0.0,0.19592331813231456,0.0,0.0,29.134835214022445,0.0
ferrari,2,2022,0.9999999999772728,0.8064661650540043,0.0,44.0,105.99167984636536,0.0
mercedes,2,2022,0.6136363636224174,0.999999999992056,0.0,27.0,130.35426137185686,0.0
sauber,2,2022,0.0,0.0,0.0,0.0,4.47145884744978,0.0
haas,2,2022,0.227272727267562,0.0715196595580643,0.0,10.0,13.474554028281933,0.0
aston_martin,2,2022,0.0,0.1337314006468666,0.0,0.0,21.305942346525384,0.0
rb,2,2022,0.0,0.07680969806973034,0.0,0.0,14.140478901597787,0.0
williams,2,2022,0.0,0.03389441352146282,0.0,0.0,8.738182611486572,0.0
alpine,2,2022,0.1818181818140496,0.19645954920794573,0.0,8.0,29.202337484624106,0.0
red_bull,3,2022,0.5453514739167193,0.7729381815399233,0.0,48.1,110.27340331552635,0.0
mclaren,3,2022,0.0884353741486572,0.22401189777569885,0.0,7.800000000000001,35.134835214022445,0.0
ferrari,3,2022,0.9999999999886621,0.9900456339192895,0.0,88.2,139.99167984636534,0.0
mercedes,3,2022,0.46825396824865917,0.9999999999926945,0.0,41.3,141.35426137185686,0.0
sauber,3,2022,0.0,0.0,0.0,0.0,4.47145884744978,0.0
haas,3,2022,0.14285714285552314,0.08038332776529651,0.0,12.6,15.474554028281933,0.0
aston_martin,3,2022,0.0,0.12298464955779177,0.0,0.0,21.305942346525384,0.0
rb,3,2022,0.0,0.07063721574778045,0.0,0.0,14.140478901597787,0.0
williams,3,2022,0.0,0.03117063418718971,0.0,0.0,8.738182611486572,0.0
alpine,3,2022,0.20861678004298617,0.23911607618567782,0.0,18.4,37.20233748462411,0.0
red_bull,4,2022,0.5942182533631436,0.7554297495546144,0.0,78.52000000000001,128.27340331552637,0.0
mclaren,4,2022,0.2892386862396758,0.296940103639174,0.0,38.22,53.134835214022445,0.0
ferrari,4,2022,0.9999999999924324,0.9855837129333614,0.0,132.14000000000001,165.99167984636534,0.0
mercedes,4,2022,0.6578628727057828,0.9999999999938981,0.0,86.93,168.35426137185686,0.0
sauber,4,2022,0.0,0.0,0.0,0.0,4.47145884744978,0.0
haas,4,2022,0.09535341304604697,0.0671400233049244,0.0,12.6,15.474554028281933,0.0
aston_martin,4,2022,0.0,0.10272269719372,0.0,0.0,21.305942346525384,0.0
rb,4,2022,0.0,0.05899960157594327,0.0,0.0,14.140478901597787,0.0
williams,4,2022,0.012789465718080904,0.03213713509213562,0.0,1.6900000000000002,9.738182611486572,0.0
alpine,4,2022,0.2159830482804905,0.23633278196575755,0.0,28.54,43.20233748462411,0.0
red_bull,5,2022,0.9999999999942919,0.9540554395239229,0.0,175.18800000000002,172.27340331552637,0.0
mclaren,5,2022,0.40627782724612255,0.3619647597858591,0.0,71.175,68.13483521402244,0.0
ferrari,5,2022,0.8546019133681839,0.9638248797771323,0.0,149.716,173.99167984636534,0.0
mercedes,5,2022,0.6466995456272878,0.9999999999943144,0.0,113.29400000000001,180.35426137185686,0.0
sauber,5,2022,0.0,0.0,0.0,0.0,4.47145884744978,0.0
haas,5,2022,0.09700436102874052,0.07393045251797029,0.0,16.994,17.474554028281933,0.0
aston_martin,5,2022,0.06270406648821435,0.1241422309945369,0.0,10.985,26.305942346525384,0.0
rb,5,2022,0.0,0.054974220988724995,0.0,0.0,14.140478901597787,0.0
williams,5,2022,0.009646779459725285,0.02994450673070205,0.0,1.6900000000000002,9.738182611486572,0.0
alpine,5,2022,0.16291070164530155,0.22020844608488357,0.0,28.54,43.20233748462411,0.0
red_bull,6,2022,0.9999999999964755,0.999999999995141,0.0,283.7198,210.27340331552637,0.0
mclaren,6,2022,0.2508637042594459,0.30934292934311225,0.0,71.175,68.13483521402244,0.0
