circuit,pilote,team,round,annee,forme_recent_norm,performance_norm,pref_circuit_norm,forme_brute,performance_brute,pref_circuit_brute,experience,is_rookie,best_recent_pts,avg_recent_pts,is_wet,wet_avg_pts,wet_race_count,pts_sur_le_weekend,position_reelle
Saudi Arabian Grand Prix,alonso,alpine,2,2022,0.07692307692011835,0.23725154153091693,0.0,2.0,35.69333410244579,0.0,197,0,2.0,1.0,0,1.0,0,0.0,16
Saudi Arabian Grand Prix,ricciardo,mclaren,2,2022,0.0,0.31130351209245943,0.0,0.0,46.83409090909093,0.0,211,0,0.0,0.0,0,0.0,0,0.0,17
Saudi Arabian Grand Prix,latifi,williams,2,2022,0.0,0.0023264298957751603,0.0,0.0,0.35000000000000003,0.0,40,0,0.0,0.0,0,0.0,0,0.0,18
Saudi Arabian Grand Prix,tsunoda,alphatauri,2,2022,0.1538461538402367,0.03837886834272563,0.0,4.0,5.773913043478261,0.0,23,0,4.0,2.0,0,2.0,0,0.0,19
Saudi Arabian Grand Prix,mick_schumacher,haas,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0.0,0.0,0,0.0,0,0.0,20
Australian Grand Prix,leclerc,ferrari,3,2022,0.9999999999802762,0.47000476564074795,0.0,50.7,71.1818979242914,0.0,83,0,26.0,23.666666666666668,0,23.666666666666668,0,26.0,1
Australian Grand Prix,perez,red_bull,3,2022,0.30769230768623884,0.3055107358489537,0.0,15.600000000000001,46.26939044826143,0.0,217,0,18.0,10.0,0,10.0,0,18.0,2
Australian Grand Prix,russell,mercedes,3,2022,0.49309664693307503,0.15383672613136187,0.0,25.0,23.2984661795106,0.0,62,0,15.0,12.333333333333334,0,12.333333333333334,0,15.0,3
Australian Grand Prix,hamilton,mercedes,3,2022,0.32149901380036494,0.9999999999933972,0.0,16.3,151.44931100173116,0.0,238,0,15.0,9.333333333333334,0,9.333333333333334,0,12.0,4
Australian Grand Prix,norris,mclaren,3,2022,0.15384615384311942,0.13718332233098884,0.0,7.800000000000001,20.776319648093843,0.0,62,0,10.0,5.333333333333333,0,5.333333333333333,0,10.0,5
Australian Grand Prix,ricciardo,mclaren,3,2022,0.0,0.3092393791626187,0.0,0.0,46.83409090909093,0.0,212,0,8.0,2.6666666666666665,0,2.6666666666666665,0,8.0,6
Australian Grand Prix,ocon,alpine,3,2022,0.3234714003880972,0.17155776975992632,0.0,16.4,25.982306027306027,0.0,91,0,8.0,6.666666666666667,0,6.666666666666667,0,6.0,7
Australian Grand Prix,bottas,alfa,3,2022,0.15779092701858402,0.5109143498264637,0.0,8.0,77.37762626262628,0.0,181,0,8.0,4.0,0,4.0,0,4.0,8
Australian Grand Prix,gasly,alphatauri,3,2022,0.10256410256207961,0.12133072394844488,0.0,5.2,18.37545454545455,0.0,88,0,4.0,2.0,0,2.0,0,2.0,9
Australian Grand Prix,albon,williams,3,2022,0.0,0.05896662379199266,0.0,0.0,8.930454545454543,0.0,40,0,1.0,0.3333333333333333,0,0.3333333333333333,0,1.0,10
Australian Grand Prix,zhou,alfa,3,2022,0.019723865877323003,0.013205738519100514,0.0,1.0,2.0,0.0,2,1,1.0,0.3333333333333333,0,0.3333333333333333,0,0.0,11
Australian Grand Prix,stroll,aston_martin,3,2022,0.0,0.05190755629269166,0.0,0.0,7.8613636363636346,0.0,102,0,0.0,0.0,0,0.0,0,0.0,12
Australian Grand Prix,mick_schumacher,haas,3,2022,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0.0,0.0,0,0.0,0,0.0,13
Australian Grand Prix,kevin_magnussen,haas,3,2022,0.24852071005426982,0.1172395974268916,0.0,12.6,17.755856252540305,0.0,122,0,10.0,4.0,0,4.0,0,0.0,14
Australian Grand Prix,tsunoda,alphatauri,3,2022,0.07889546350929201,0.03812439294209888,0.0,4.0,5.773913043478261,0.0,24,0,4.0,1.3333333333333333,0,1.3333333333333333,0,0.0,15
Australian Grand Prix,latifi,williams,3,2022,0.0,0.00231100424084259,0.0,0.0,0.35000000000000003,0.0,41,0,0.0,0.0,0,0.0,0,0.0,16
Australian Grand Prix,alonso,alpine,3,2022,0.039447731754646005,0.23567841851589616,0.0,2.0,35.69333410244579,0.0,198,0,2.0,0.6666666666666666,0,0.6666666666666666,0,0.0,17
Australian Grand Prix,max_verstappen,red_bull,3,2022,0.6410256410129975,0.6045185381019333,0.0,32.5,91.55391608391608,0.0,143,0,25.0,8.333333333333334,0,8.333333333333334,0,0.0,18
Australian Grand Prix,vettel,aston_martin,3,2022,0.0,0.5684680262925617,0.0,0.0,86.09409090909092,0.0,237,0,0.0,0.0,0,0.0,0,0.0,19
Australian Grand Prix,sainz,ferrari,3,2022,0.7396449703996125,0.3749968813236454,0.0,37.5,56.79301930463903,0.0,143,0,18.0,11.0,0,11.0,0,0.0,20
Emilia Romagna Grand Prix,max_verstappen,red_bull,4,2022,0.3434065934029648,0.5599644327248319,0.0,32.5,91.55391608391608,0.0,144,0,26.0,17.0,0,17.0,0,26.0,1
Emilia Romagna Grand Prix,perez,red_bull,4,2022,0.48626373625859814,0.39359111986280765,0.0,46.02,64.35195925560089,0.0,218,0,18.0,16.0,0,16.0,0,18.0,2
Emilia Romagna Grand Prix,norris,mclaren,4,2022,0.26098901098625327,0.1892057528212689,0.0,24.700000000000003,30.935049806824,0.0,63,0,15.0,10.333333333333334,0,10.333333333333334,0,15.0,3
Emilia Romagna Grand Prix,russell,mercedes,4,2022,0.5320160608565931,0.23569831500813593,0.0,50.35,38.53656141760584,0.0,63,0,15.0,12.333333333333334,0,12.333333333333334,0,12.0,4
Emilia Romagna Grand Prix,bottas,alfa,4,2022,0.1559594251885465,0.4978583679094176,0.0,14.760000000000002,81.3996042846043,0.0,182,0,10.0,4.666666666666667,0,4.666666666666667,0,10.0,5
Emilia Romagna Grand Prix,leclerc,ferrari,4,2022,0.9999999999894336,0.5962795585573395,0.0,94.64000000000001,97.49142173381522,0.0,84,0,26.0,17.666666666666668,0,17.666666666666668,0,8.0,6
Emilia Romagna Grand Prix,tsunoda,alphatauri,4,2022,0.042265426880364894,0.03531455649620004,0.0,4.0,5.773913043478261,0.0,25,0,6.0,2.0,0,2.0,0,6.0,7
Emilia Romagna Grand Prix,vettel,aston_martin,4,2022,0.0,0.5265709085855097,0.0,0.0,86.09409090909092,0.0,238,0,4.0,2.0,0,2.0,0,4.0,8
Emilia Romagna Grand Prix,kevin_magnussen,haas,4,2022,0.1331360946731494,0.10859882787410428,0.0,12.6,17.755856252540305,0.0,123,0,2.0,1.3333333333333333,0,1.3333333333333333,0,2.0,9
Emilia Romagna Grand Prix,stroll,aston_martin,4,2022,0.0,0.048081875875687734,0.0,0.0,7.8613636363636346,0.0,103,0,1.0,0.3333333333333333,0,0.3333333333333333,0,1.0,10
Emilia Romagna Grand Prix,albon,williams,4,2022,0.01785714285695417,0.06088607952309446,0.0,1.6900000000000002,9.954844789356983,0.0,41,0,1.0,0.3333333333333333,0,0.3333333333333333,0,0.0,11
Emilia Romagna Grand Prix,gasly,alphatauri,4,2022,0.0906593406583827,0.12475832607733714,0.0,8.58,20.397926455566907,0.0,89,0,4.0,2.0,0,2.0,0,0.0,12
Emilia Romagna Grand Prix,hamilton,mercedes,4,2022,0.386517328820937,0.9999999999938839,0.0,36.58,163.4995202067521,0.0,239,0,12.0,4.333333333333333,0,4.333333333333333,0,0.0,13
Emilia Romagna Grand Prix,ocon,alpine,4,2022,0.28043110735122107,0.19600989273784358,0.0,26.54,32.047523418610375,0.0,92,0,8.0,4.666666666666667,0,4.666666666666667,0,0.0,14
Emilia Romagna Grand Prix,zhou,alfa,4,2022,0.010566356720091223,0.012232451798382544,0.0,1.0,2.0,0.0,3,1,0.0,0.0,0,0.0,0,0.0,15
Emilia Romagna Grand Prix,latifi,williams,4,2022,0.0,0.0021406790647169453,0.0,0.0,0.35000000000000003,0.0,42,0,0.0,0.0,0,0.0,0,0.0,16
Emilia Romagna Grand Prix,mick_schumacher,haas,4,2022,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0.0,0.0,0,0.0,0,0.0,17
Emilia Romagna Grand Prix,ricciardo,mclaren,4,2022,0.14285714285563336,0.3356074043814551,0.0,13.520000000000001,54.87164959453694,0.0,213,0,8.0,2.6666666666666665,0,2.6666666666666665,0,0.0,18
Emilia Romagna Grand Prix,alonso,alpine,4,2022,0.021132713440182447,0.21830849446586598,0.0,2.0,35.69333410244579,0.0,199,0,0.0,0.0,0,0.0,0,0.0,19
Emilia Romagna Grand Prix,sainz,ferrari,4,2022,0.3962383770034209,0.34735893556430314,0.0,37.5,56.79301930463903,0.0,144,0,15.0,5.0,0,5.0,0,0.0,20
Miami Grand Prix,max_verstappen,red_bull,5,2022,0.7986561631068773,0.7200830086788323,0.0,89.622,117.73322642874366,0.0,145,0,26.0,17.333333333333332,0,17.333333333333332,0,26.0,1
Miami Grand Prix,leclerc,ferrari,5,2022,0.9999999999910886,0.6457850105413817,0.0,112.21600000000001,105.58553938087404,0.0,85,0,26.0,17.333333333333332,0,17.333333333333332,0,18.0,2
Miami Grand Prix,sainz,ferrari,5,2022,0.3341769444612695,0.34735893556430314,0.0,37.5,56.79301930463903,0.0,145,0,15.0,5.0,0,5.0,0,15.0,3
Miami Grand Prix,perez,red_bull,5,2022,0.7625115847939463,0.5041858895468142,0.0,85.566,82.4341510364228,0.0,219,0,18.0,16.0,0,16.0,0,12.0,4
Miami Grand Prix,russell,mercedes,5,2022,0.6836280031307155,0.31023981815452956,0.0,76.714,50.72406141760584,0.0,64,0,15.0,12.333333333333334,0,12.333333333333334,0,10.0,5
Miami Grand Prix,hamilton,mercedes,5,2022,0.32597847009048636,0.9999999999938839,0.0,36.58,163.4995202067521,0.0,240,0,12.0,6.666666666666667,0,6.666666666666667,0,8.0,6
Miami Grand Prix,bottas,alfa,5,2022,0.3273151778683315,0.5593548468958217,0.0,36.730000000000004,91.45424909334747,0.0,183,0,10.0,6.666666666666667,0,6.666666666666667,0,6.0,7
Miami Grand Prix,ocon,alpine,5,2022,0.23650816282672246,0.19600989273784358,0.0,26.54,32.047523418610375,0.0,93,0,6.0,3.3333333333333335,0,3.3333333333333335,0,4.0,8
Miami Grand Prix,albon,williams,5,2022,0.015060240963721215,0.06088607952309446,0.0,1.6900000000000002,9.954844789356983,0.0,42,0,2.0,1.0,0,1.0,0,2.0,9
Miami Grand Prix,stroll,aston_martin,5,2022,0.019578313252837577,0.05425691163929431,0.0,2.197,8.87097902097902,0.0,104,0,1.0,0.6666666666666666,0,0.6666666666666666,0,1.0,10
Miami Grand Prix,alonso,alpine,5,2022,0.017822770371267706,0.21830849446586598,0.0,2.0,35.69333410244579,0.0,200,0,0.0,0.0,0,0.0,0,0.0,11
Miami Grand Prix,tsunoda,alphatauri,5,2022,0.1531154202595609,0.0734233486373149,0.0,17.182000000000002,12.004682274247493,0.0,26,0,6.0,2.0,0,2.0,0,0.0,12
Miami Grand Prix,ricciardo,mclaren,5,2022,0.12048192770976972,0.3356074043814551,0.0,13.520000000000001,54.87164959453694,0.0,214,0,8.0,2.6666666666666665,0,2.6666666666666665,0,0.0,13
Miami Grand Prix,latifi,williams,5,2022,0.0,0.0021406790647169453,0.0,0.0,0.35000000000000003,0.0,43,0,0.0,0.0,0,0.0,0,0.0,14
Miami Grand Prix,mick_schumacher,haas,5,2022,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0.0,0.0,0,0.0,0,0.0,15
Miami Grand Prix,kevin_magnussen,haas,5,2022,0.1514400798446617,0.1209299284773125,0.0,16.994,19.77198528479837,0.0,124,0,2.0,0.6666666666666666,0,0.6666666666666666,0,0.0,16
Miami Grand Prix,vettel,aston_martin,5,2022,0.04633920296529604,0.5511381757956504,0.0,5.2,90.11082731076456,0.0,239,0,4.0,1.3333333333333333,0,1.3333333333333333,0,0.0,17
Miami Grand Prix,gasly,alphatauri,5,2022,0.07645968489273847,0.12475832607733714,0.0,8.58,20.397926455566907,0.0,90,0,2.0,0.6666666666666666,0,0.6666666666666666,0,0.0,18
Miami Grand Prix,norris,mclaren,5,2022,0.5137859128777198,0.2823826317542609,0.0,57.655,46.169424806824,0.0,64,0,15.0,8.333333333333334,0,8.333333333333334,0,0.0,19
Miami Grand Prix,zhou,alfa,5,2022,0.008911385185633853,0.012232451798382544,0.0,1.0,2.0,0.0,4,1,0.0,0.0,0,0.0,0,0.0,20
Spanish Grand Prix,max_verstappen,red_bull,6,2022,0.9999999999938981,0.8389729529368205,0.0,163.88060000000002,143.9113086205245,0.0,146,0,26.0,25.666666666666668,0,25.666666666666668,0,25.0,1
Spanish Grand Prix,perez,red_bull,6,2022,0.7312592216483753,0.550849418812614,0.0,119.8392,94.48869649096827,0.0,220,0,19.0,16.333333333333332,0,16.333333333333332,0,19.0,2
Spanish Grand Prix,russell,mercedes,6,2022,0.6423884218104987,0.35490552044463614,0.0,105.275,60.87790757145199,0.0,65,0,15.0,12.333333333333334,0,12.333333333333334,0,15.0,3
Spanish Grand Prix,sainz,ferrari,6,2022,0.4902441167503034,0.4191372994643849,0.0,80.34150000000001,71.89575903066643,0.0,146,0,15.0,9.0,0,9.0,0,12.0,4
Spanish Grand Prix,hamilton,mercedes,6,2022,0.36263474749077906,0.9999999999941702,0.0,59.4288,171.53271522749898,0.0,241,0,10.0,6.0,0,6.0,0,10.0,5
Spanish Grand Prix,bottas,alfa,6,2022,0.3286941834461877,0.5683280746715708,0.0,53.866600000000005,97.48685778899964,0.0,184,0,10.0,8.0,0,8.0,0,8.0,6
Spanish Grand Prix,ocon,alpine,6,2022,0.2316589028827594,0.21039762917542634,0.0,37.9644,36.090076610099736,0.0,94,0,6.0,3.3333333333333335,0,3.3333333333333335,0,6.0,7
Spanish Grand Prix,norris,mclaren,6,2022,0.3518110136260679,0.26915812966244745,0.0,57.655,46.169424806824,0.0,65,0,15.0,6.333333333333333,0,6.333333333333333,0,4.0,8
Spanish Grand Prix,alonso,alpine,6,2022,0.012204007063604819,0.20808470299615237,0.0,2.0,35.69333410244579,0.0,201,0,2.0,0.6666666666666666,0,0.6666666666666666,0,2.0,9
Spanish Grand Prix,tsunoda,alphatauri,6,2022,0.10484462468342902,0.06998479711730814,0.0,17.182000000000002,12.004682274247493,0.0,27,0,6.0,2.3333333333333335,0,2.3333333333333335,0,1.0,10
Spanish Grand Prix,vettel,aston_martin,6,2022,0.031730418365372534,0.5253273533898639,0.0,5.2,90.11082731076456,0.0,240,0,4.0,1.3333333333333333,0,1.3333333333333333,0,0.0,11
Spanish Grand Prix,ricciardo,mclaren,6,2022,0.08249908774996859,0.31989028752586546,0.0,13.520000000000001,54.87164959453694,0.0,215,0,0.0,0.0,0,0.0,0,0.0,12
Spanish Grand Prix,gasly,alphatauri,6,2022,0.052355190302864674,0.11891566240524322,0.0,8.58,20.397926455566907,0.0,91,0,0.0,0.0,0,0.0,0,0.0,13
Spanish Grand Prix,mick_schumacher,haas,6,2022,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,0.0,0,0.0,0,0.0,14
Spanish Grand Prix,stroll,aston_martin,6,2022,0.03083403404655076,0.05760127342088066,0.0,5.053100000000001,9.880502830502829,0.0,105,0,1.0,0.6666666666666666,0,0.6666666666666666,0,0.0,15
Spanish Grand Prix,latifi,williams,6,2022,0.0,0.00204042709598437,0.0,0.0,0.35000000000000003,0.0,44,0,0.0,0.0,0,0.0,0,0.0,16
Spanish Grand Prix,kevin_magnussen,haas,6,2022,0.10369744801945015,0.11526655576144806,0.0,16.994,19.77198528479837,0.0,125,0,2.0,0.6666666666666666,0,0.6666666666666666,0,0.0,17
Spanish Grand Prix,albon,williams,6,2022,0.0451682505431078,0.0699654080638608,0.0,7.4022000000000014,12.00135641726396,0.0,43,0,2.0,0.6666666666666666,0,0.6666666666666666,0,0.0,18
Spanish Grand Prix,zhou,alfa,6,2022,0.006102003531802409,0.011659583405624969,0.0,1.0,2.0,0.0,5,1,0.0,0.0,0,0.0,0,0.0,19
Spanish Grand Prix,leclerc,ferrari,6,2022,0.9984452094939948,0.7216981410312787,0.0,163.62580000000003,123.79484170645543,0.0,86,0,18.0,8.666666666666666,0,8.666666666666666,0,0.0,20
Monaco Grand Prix,perez,red_bull,7,2022,0.741651790571259,0.6255005995283486,0.0,146.4499,113.574669341647,0.0,221,0,25.0,18.666666666666668,1,18.666666666666668,0,25.0,1
Monaco Grand Prix,sainz,ferrari,7,2022,0.41642016666075965,0.46249669181944075,0.0,82.2282,83.97739168372765,0.0,147,0,18.0,15.0,1,15.0,0,18.0,2
Monaco Grand Prix,max_verstappen,red_bull,7,2022,0.9999999999949358,0.9311979781697273,0.0,197.46450000000002,169.08137664773537,0.0,147,0,26.0,22.0,1,22.0,0,15.0,3
Monaco Grand Prix,leclerc,ferrari,7,2022,0.5361267468302601,0.6817871287212324,0.0,105.86600000000001,123.79484170645543,0.0,87,0,18.0,10.0,1,10.0,0,12.0,4
Monaco Grand Prix,russell,mercedes,7,2022,0.5803144362628204,0.41914131187885745,0.0,114.59150000000001,76.10518029872472,0.0,66,0,15.0,11.666666666666666,1,11.666666666666666,0,10.0,5
Monaco Grand Prix,norris,mclaren,7,2022,0.28245279531114476,0.2766366356515015,0.0,55.7744,50.23003086743006,0.0,66,0,9.0,4.333333333333333,1,4.333333333333333,0,9.0,6
Monaco Grand Prix,alonso,alpine,7,2022,0.028927731313583317,0.207646619543335,0.0,5.712200000000001,37.7032350925448,0.0,202,0,6.0,2.6666666666666665,1,2.6666666666666665,0,6.0,7
Monaco Grand Prix,hamilton,mercedes,7,2022,0.31771280407203467,0.9999999999944926,0.0,62.73700000000001,181.57403754154856,0.0,242,0,10.0,7.333333333333333,1,7.333333333333333,0,4.0,8
Monaco Grand Prix,bottas,alfa,7,2022,0.294386079521664,0.5811959818733107,0.0,58.13080000000001,105.53010103224288,0.0,185,0,8.0,5.333333333333333,1,5.333333333333333,0,2.0,9
Monaco Grand Prix,vettel,aston_martin,7,2022,0.026333847349643436,0.4962759463320781,0.0,5.2,90.11082731076456,0.0,241,0,1.0,0.3333333333333333,1,0.3333333333333333,0,1.0,10
Monaco Grand Prix,gasly,alphatauri,7,2022,0.03342372932839359,0.11233944418285585,0.0,6.6,20.397926455566907,0.0,92,0,0.0,0.0,1,0.0,0,0.0,11
Monaco Grand Prix,ocon,alpine,7,2022,0.21130177829325625,0.23215452536797138,0.0,41.7246,42.153234504836576,0.0,95,0,6.0,3.3333333333333335,1,3.3333333333333335,0,0.0,12
Monaco Grand Prix,ricciardo,mclaren,7,2022,0.05266769469928687,0.3021998647889227,0.0,10.4,54.87164959453694,0.0,216,0,0.0,0.0,1,0.0,0,0.0,13
Monaco Grand Prix,stroll,aston_martin,7,2022,0.01968455089385847,0.05441583479789898,0.0,3.8870000000000005,9.880502830502829,0.0,106,0,1.0,0.3333333333333333,1,0.3333333333333333,0,0.0,14
Monaco Grand Prix,latifi,williams,7,2022,0.0,0.0019275883531420835,0.0,0.0,0.35000000000000003,0.0,45,0,0.0,0.0,1,0.0,0,0.0,15
Monaco Grand Prix,zhou,alfa,7,2022,0.0,0.011014790589383334,0.0,0.0,2.0,0.0,6,1,0.0,0.0,1,0.0,0,0.0,16
Monaco Grand Prix,tsunoda,alphatauri,7,2022,0.06581486798859637,0.0718186186552469,0.0,12.996100000000002,13.04039655996178,0.0,28,0,1.0,0.3333333333333333,1,0.3333333333333333,0,0.0,17
Monaco Grand Prix,albon,williams,7,2022,0.028835562847859562,0.06609621386235717,0.0,5.694,12.00135641726396,0.0,44,0,2.0,0.6666666666666666,1,0.6666666666666666,0,0.0,18
