team,points_total_coeffed,anciennete,moyenne_coeffee
red_bull,1465.4680663105269,237.0,6.183409562491675
mclaren,582.6967042804489,237.0,2.458635883039869
ferrari,1239.8335969273073,237.0,5.231365387878934
mercedes,2067.085227437137,237.0,8.721878596781169
sauber,89.42917694899559,237.0,0.37733829936285057
haas,69.49108056563867,122.0,0.5695990210298252
aston_martin,426.11884693050774,237.0,1.7979698182721846
rb,282.8095780319557,237.0,1.1932893587846232
williams,174.76365222973143,237.0,0.7373993764967571
alpine,424.0467496924821,237.0,1.789226791951401
