circuit,pilote,team,round,annee,forme_recent_norm,performance_norm,pref_circuit_norm,forme_brute,performance_brute,pref_circuit_brute,experience,is_rookie,best_recent_pts,avg_recent_pts,is_wet,wet_avg_pts,wet_race_count,pts_sur_le_weekend,position_reelle,forme_recent_norm_equipe,performance_norm_equipe,preference_circuit_norm_equipe,forme_brute_equipe,performance_brute_equipe,pref_circuit_brute_equipe
Saudi Arabian Grand Prix,sainz,ferrari,2,2022,0.692307692281065,0.2770985669630634,0.0,18.0,41.688124199743925,0.0,142,0,18.0,16.5,0,16.5,0,15.0,3,0.9999999999772728,0.8064661650540043,0.0,44.0,105.99167984636536,0.0
Saudi Arabian Grand Prix,perez,red_bull,2,2022,0.0,0.2274190969933664,0.0,0.0,34.21409090909093,0.0,216,0,12.0,6.0,0,6.0,0,12.0,4,0.0,0.5465555507805777,0.0,0.0,73.27340331552635,0.0
Saudi Arabian Grand Prix,russell,mercedes,2,2022,0.46153846152071,0.0873220533131928,0.0,12.0,13.137175856929955,0.0,61,0,12.0,11.0,0,11.0,0,10.0,5,0.6136363636224174,0.999999999992056,0.0,27.0,130.35426137185686,0.0
Saudi Arabian Grand Prix,ocon,alpine,2,2022,0.230769230760355,0.1189430086496683,0.0,6.0,17.89439393939394,0.0,90,0,8.0,7.0,0,7.0,0,8.0,6,0.1818181818140496,0.1964595492079457,0.0,8.0,29.202337484624103,0.0
Saudi Arabian Grand Prix,norris,mclaren,2,2022,0.0,0.0975740954338426,0.0,0.0,14.679545454545456,0.0,61,0,6.0,3.0,0,3.0,0,6.0,7,0.0,0.1959233181323145,0.0,0.0,29.134835214022445,0.0
Saudi Arabian Grand Prix,gasly,rb,2,2022,0.0,0.0952506868755944,0.0,0.0,14.330000000000002,0.0,87,0,4.0,2.0,0,2.0,0,4.0,8,0.0,0.0768096980697303,0.0,0.0,14.140478901597788,0.0
Saudi Arabian Grand Prix,kevin_magnussen,haas,2,2022,0.3846153846005917,0.1046193052126658,0.0,10.0,15.739462809917356,0.0,121,0,10.0,6.0,0,6.0,0,2.0,9,0.227272727267562,0.0715196595580643,0.0,10.0,13.474554028281933,0.0
Saudi Arabian Grand Prix,hamilton,mercedes,2,2022,0.5769230769008876,0.9999999999933532,0.0,15.0,150.44510932105888,0.0,237,0,15.0,8.0,0,8.0,0,1.0,10,0.6136363636224174,0.999999999992056,0.0,27.0,130.35426137185686,0.0
Saudi Arabian Grand Prix,zhou,sauber,2,2022,0.0384615384600591,0.0132938851187152,0.0,1.0,2.0,0.0,1,1,1.0,0.5,0,0.5,0,0.0,11,0.0,0.0,0.0,0.0,4.47145884744978,0.0
Saudi Arabian Grand Prix,hulkenberg,aston_martin,2,2022,0.0,0.1084358038433383,0.0,0.0,16.313636363636373,0.0,183,0,0.0,0.0,0,0.0,0,0.0,12,0.0,0.1337314006468666,0.0,0.0,21.305942346525384,0.0
Saudi Arabian Grand Prix,stroll,aston_martin,2,2022,0.0,0.0522540325291316,0.0,0.0,7.861363636363634,0.0,101,0,0.0,0.0,0,0.0,0,0.0,13,0.0,0.1337314006468666,0.0,0.0,21.305942346525384,0.0
Saudi Arabian Grand Prix,albon,williams,2,2022,0.0,0.0593602183925903,0.0,0.0,8.930454545454543,0.0,39,0,0.0,0.0,0,0.0,0,0.0,14,0.0,0.0338944135214628,0.0,0.0,8.738182611486572,0.0
Saudi Arabian Grand Prix,bottas,sauber,2,2022,0.3076923076804734,0.5143246371471171,0.0,8.0,77.37762626262628,0.0,180,0,8.0,4.0,0,4.0,0,0.0,15,0.0,0.0,0.0,0.0,4.47145884744978,0.0
Saudi Arabian Grand Prix,alonso,alpine,2,2022,0.0769230769201183,0.2372515415309169,0.0,2.0,35.69333410244579,0.0,197,0,2.0,1.0,0,1.0,0,0.0,16,0.1818181818140496,0.1964595492079457,0.0,8.0,29.202337484624103,0.0
Saudi Arabian Grand Prix,ricciardo,mclaren,2,2022,0.0,0.3113035120924594,0.0,0.0,46.83409090909093,0.0,211,0,0.0,0.0,0,0.0,0,0.0,17,0.0,0.1959233181323145,0.0,0.0,29.134835214022445,0.0
Saudi Arabian Grand Prix,latifi,williams,2,2022,0.0,0.0023264298957751,0.0,0.0,0.35,0.0,40,0,0.0,0.0,0,0.0,0,0.0,18,0.0,0.0338944135214628,0.0,0.0,8.738182611486572,0.0
Saudi Arabian Grand Prix,tsunoda,rb,2,2022,0.1538461538402367,0.0383788683427256,0.0,4.0,5.773913043478261,0.0,23,0,4.0,2.0,0,2.0,0,0.0,19,0.0,0.0768096980697303,0.0,0.0,14.140478901597788,0.0
Saudi Arabian Grand Prix,mick_schumacher,haas,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,23,0,0.0,0.0,0,0.0,0,0.0,20,0.227272727267562,0.0715196595580643,0.0,10.0,13.474554028281933,0.0
Australian Grand Prix,leclerc,ferrari,3,2022,0.9999999999802762,0.4700047656407479,0.0,50.7,71.1818979242914,0.0,83,0,26.0,23.666666666666668,0,23.666666666666668,0,26.0,1,0.999999999988662,0.9900456339192896,0.0,88.2,139.99167984636534,0.0
Australian Grand Prix,perez,red_bull,3,2022,0.3076923076862388,0.3055107358489537,0.0,15.6,46.26939044826143,0.0,217,0,18.0,10.0,0,10.0,0,18.0,2,0.5453514739167193,0.7729381815399233,0.0,48.1,110.27340331552637,0.0
